N, full runtime, Nussinov runtime, traceback runtime
20 ,  0.00366973876953125 ,  0.0036368370056152344 ,  3.2901763916015625e-05
20 ,  0.0026979446411132812 ,  0.0026788711547851562 ,  1.9073486328125e-05
20 ,  0.002357006072998047 ,  0.0023458003997802734 ,  1.1205673217773438e-05
40 ,  0.016743183135986328 ,  0.016718149185180664 ,  2.5033950805664062e-05
40 ,  0.016256093978881836 ,  0.016236066818237305 ,  2.002716064453125e-05
40 ,  0.016082048416137695 ,  0.01606297492980957 ,  1.9073486328125e-05
60 ,  0.0611569881439209 ,  0.0611109733581543 ,  4.601478576660156e-05
60 ,  0.06306791305541992 ,  0.0630331039428711 ,  3.4809112548828125e-05
60 ,  0.06151890754699707 ,  0.06148266792297363 ,  3.62396240234375e-05
80 ,  0.15272808074951172 ,  0.15267300605773926 ,  5.507469177246094e-05
80 ,  0.16162514686584473 ,  0.16157102584838867 ,  5.412101745605469e-05
80 ,  0.15557622909545898 ,  0.15552401542663574 ,  5.221366882324219e-05
100 ,  0.3064889907836914 ,  0.3064229488372803 ,  6.604194641113281e-05
100 ,  0.31281375885009766 ,  0.31273698806762695 ,  7.677078247070312e-05
100 ,  0.30498480796813965 ,  0.3049178123474121 ,  6.699562072753906e-05
120 ,  0.546116828918457 ,  0.5460300445556641 ,  8.678436279296875e-05
120 ,  0.5652487277984619 ,  0.5651707649230957 ,  7.796287536621094e-05
120 ,  0.5555987358093262 ,  0.5555088520050049 ,  8.988380432128906e-05
140 ,  0.8858189582824707 ,  0.8856499195098877 ,  0.0001690387725830078
140 ,  0.8658761978149414 ,  0.8657882213592529 ,  8.797645568847656e-05
140 ,  0.8698842525482178 ,  0.8697962760925293 ,  8.797645568847656e-05
160 ,  1.2868759632110596 ,  1.2867639064788818 ,  0.00011205673217773438
160 ,  1.299347162246704 ,  1.299241065979004 ,  0.00010609626770019531
160 ,  1.3078179359436035 ,  1.307710886001587 ,  0.00010704994201660156
180 ,  1.995384931564331 ,  1.995244026184082 ,  0.00014090538024902344
180 ,  1.9253017902374268 ,  1.9251148700714111 ,  0.000186920166015625
180 ,  1.8749489784240723 ,  1.8748180866241455 ,  0.0001308917999267578
200 ,  2.6194450855255127 ,  2.619269847869873 ,  0.00017523765563964844
200 ,  2.5754969120025635 ,  2.5753579139709473 ,  0.00013899803161621094
200 ,  2.5962908267974854 ,  2.5961499214172363 ,  0.00014090538024902344
220 ,  3.4518589973449707 ,  3.451678991317749 ,  0.0001800060272216797
220 ,  3.507378101348877 ,  3.5072219371795654 ,  0.00015616416931152344
220 ,  3.4627068042755127 ,  3.4625468254089355 ,  0.00015997886657714844
240 ,  4.473627090454102 ,  4.473174810409546 ,  0.00045228004455566406
240 ,  4.778531312942505 ,  4.778340101242065 ,  0.00019121170043945312
240 ,  4.509403944015503 ,  4.509199857711792 ,  0.0002040863037109375
260 ,  5.758410930633545 ,  5.7581470012664795 ,  0.0002639293670654297
260 ,  5.780480146408081 ,  5.780242204666138 ,  0.00023794174194335938
260 ,  5.75639009475708 ,  5.756193161010742 ,  0.00019693374633789062
280 ,  7.494859933853149 ,  7.494536876678467 ,  0.0003230571746826172
280 ,  8.741018295288086 ,  8.74073600769043 ,  0.00028228759765625
280 ,  7.612858057022095 ,  7.612406969070435 ,  0.00045108795166015625
300 ,  9.319631576538086 ,  9.319313764572144 ,  0.0003178119659423828
300 ,  9.293820858001709 ,  9.293553829193115 ,  0.00026702880859375
300 ,  8.911447763442993 ,  8.911146879196167 ,  0.0003008842468261719
320 ,  12.115498065948486 ,  12.115192174911499 ,  0.0003058910369873047
320 ,  13.142280101776123 ,  13.141715049743652 ,  0.0005650520324707031
320 ,  24.5576331615448 ,  24.55706810951233 ,  0.0005650520324707031
340 ,  29.608397245407104 ,  29.608026266098022 ,  0.00037097930908203125
340 ,  22.148620128631592 ,  22.146839141845703 ,  0.0017809867858886719
340 ,  19.05401611328125 ,  19.053436040878296 ,  0.0005800724029541016
360 ,  22.547809600830078 ,  22.54742980003357 ,  0.00037980079650878906
360 ,  24.376203060150146 ,  24.375493049621582 ,  0.0007100105285644531
360 ,  27.159382820129395 ,  27.159033060073853 ,  0.0003497600555419922
380 ,  27.61438226699829 ,  27.613887071609497 ,  0.0004951953887939453
380 ,  27.503249883651733 ,  27.50094199180603 ,  0.002307891845703125
380 ,  29.019774198532104 ,  29.01865029335022 ,  0.0011239051818847656
400 ,  31.723232746124268 ,  31.722816944122314 ,  0.000415802001953125
400 ,  32.66459894180298 ,  32.66422200202942 ,  0.0003769397735595703
400 ,  31.568246126174927 ,  31.567435026168823 ,  0.0008111000061035156
420 ,  36.32958197593689 ,  36.32915496826172 ,  0.00042700767517089844
420 ,  32.99434208869934 ,  32.99397897720337 ,  0.0003631114959716797
420 ,  33.70275330543518 ,  33.7019681930542 ,  0.0007851123809814453
440 ,  38.649075984954834 ,  38.64804005622864 ,  0.001035928726196289
440 ,  38.00811433792114 ,  38.00756311416626 ,  0.0005512237548828125
440 ,  37.96373200416565 ,  37.96329307556152 ,  0.00043892860412597656
460 ,  47.00555109977722 ,  47.005000829696655 ,  0.0005502700805664062
460 ,  45.87507629394531 ,  45.87446427345276 ,  0.0006120204925537109
460 ,  46.66167974472046 ,  46.66124176979065 ,  0.0004379749298095703
480 ,  49.900086879730225 ,  49.8996479511261 ,  0.00043892860412597656
480 ,  51.352346658706665 ,  51.351844787597656 ,  0.0005018711090087891
480 ,  51.725595235824585 ,  51.72479605674744 ,  0.0007991790771484375
500 ,  57.467745542526245 ,  57.466803312301636 ,  0.000942230224609375
500 ,  59.171136140823364 ,  59.17055702209473 ,  0.0005791187286376953
500 ,  57.400086641311646 ,  57.39959979057312 ,  0.0004868507385253906
520 ,  64.0550184249878 ,  64.05431723594666 ,  0.0007011890411376953
520 ,  63.55635404586792 ,  63.55554509162903 ,  0.0008089542388916016
520 ,  51.85413694381714 ,  51.853652000427246 ,  0.0004849433898925781
520 ,  48.85757303237915 ,  48.857062101364136 ,  0.0005109310150146484
520 ,  50.63332176208496 ,  50.632734060287476 ,  0.0005877017974853516
540 ,  56.25073218345642 ,  56.25021696090698 ,  0.0005152225494384766
540 ,  59.347721099853516 ,  59.34717607498169 ,  0.0005450248718261719
540 ,  59.585371017456055 ,  59.58402895927429 ,  0.0013420581817626953
560 ,  66.75699615478516 ,  66.75633811950684 ,  0.0006580352783203125
560 ,  66.95354795455933 ,  66.95297884941101 ,  0.0005691051483154297
560 ,  70.10400605201721 ,  70.10340309143066 ,  0.0006029605865478516
580 ,  75.16441226005554 ,  75.16389918327332 ,  0.0005130767822265625
580 ,  77.61400198936462 ,  77.61340594291687 ,  0.0005960464477539062
580 ,  69.87294602394104 ,  69.87239503860474 ,  0.0005509853363037109
600 ,  86.61853003501892 ,  86.61788702011108 ,  0.0006430149078369141
600 ,  87.59367227554321 ,  87.59307217597961 ,  0.0006000995635986328
600 ,  81.34284615516663 ,  81.34227013587952 ,  0.000576019287109375
620 ,  84.11563396453857 ,  84.11486387252808 ,  0.0007700920104980469
620 ,  87.50956797599792 ,  87.5089499950409 ,  0.00061798095703125
620 ,  83.55567216873169 ,  83.55511808395386 ,  0.0005540847778320312
620 ,  84.72942280769348 ,  84.72885298728943 ,  0.0005698204040527344
620 ,  82.96972274780273 ,  82.96912980079651 ,  0.0005929470062255859
640 ,  90.18077301979065 ,  90.18019104003906 ,  0.0005819797515869141
640 ,  88.42449998855591 ,  88.42398190498352 ,  0.0005180835723876953
640 ,  100.92578768730164 ,  100.92521381378174 ,  0.0005738735198974609
660 ,  100.34277200698853 ,  100.34204316139221 ,  0.0007288455963134766
660 ,  104.62119698524475 ,  104.62059903144836 ,  0.0005979537963867188
660 ,  97.54260802268982 ,  97.54200983047485 ,  0.0005981922149658203
680 ,  107.74319267272949 ,  107.74256992340088 ,  0.0006227493286132812
680 ,  124.06109809875488 ,  124.06045913696289 ,  0.0006389617919921875
680 ,  163.22583508491516 ,  163.2251877784729 ,  0.0006473064422607422
700 ,  127.76898622512817 ,  127.76666307449341 ,  0.002323150634765625
700 ,  120.33348679542542 ,  120.33278799057007 ,  0.0006988048553466797
700 ,  126.47859358787537 ,  126.47669076919556 ,  0.0019028186798095703
800 ,  223.9557020664215 ,  223.95296216011047 ,  0.0027399063110351562
800 ,  244.41004705429077 ,  244.40512824058533 ,  0.004918813705444336
800 ,  209.63520574569702 ,  209.6325328350067 ,  0.002672910690307617
900 ,  292.7620565891266 ,  292.7594223022461 ,  0.002634286880493164
900 ,  289.8308160305023 ,  289.82852721214294 ,  0.002288818359375
900 ,  275.68697786331177 ,  275.6788101196289 ,  0.008167743682861328
1000 ,  369.6842849254608 ,  369.6813859939575 ,  0.0028989315032958984
1000 ,  338.6165130138397 ,  338.61465287208557 ,  0.0018601417541503906
1000 ,  340.8597939014435 ,  340.85719990730286 ,  0.002593994140625
1100 ,  480.87754106521606 ,  480.8744390010834 ,  0.0031020641326904297
1100 ,  521.2147870063782 ,  521.2116091251373 ,  0.0031778812408447266
1100 ,  489.95986700057983 ,  489.9558300971985 ,  0.004036903381347656
1200 ,  632.3172678947449 ,  632.310793876648 ,  0.006474018096923828
1200 ,  615.016282081604 ,  615.0104832649231 ,  0.005798816680908203
1200 ,  610.4896519184113 ,  610.4849200248718 ,  0.004731893539428711
1300 ,  742.4737508296967 ,  742.4721279144287 ,  0.001622915267944336
1300 ,  755.5329957008362 ,  755.5315709114075 ,  0.0014247894287109375
1400 ,  1011.1477649211884 ,  1011.142884016037 ,  0.0048809051513671875
1500 ,  1183.5514161586761 ,  1183.546114206314 ,  0.005301952362060547
1500 ,  1362.5632979869843 ,  1362.544734954834 ,  0.018563032150268555
