N, full runtime, Nussinov runtime, traceback runtime
20 ,  0.0017070770263671875 ,  0.0017018318176269531 ,  5.245208740234375e-06
20 ,  0.0015349388122558594 ,  0.0015287399291992188 ,  6.198883056640625e-06
20 ,  0.0015621185302734375 ,  0.0015590190887451172 ,  3.0994415283203125e-06
20 ,  0.001577138900756836 ,  0.0015749931335449219 ,  2.1457672119140625e-06
20 ,  0.0015490055084228516 ,  0.0015459060668945312 ,  3.0994415283203125e-06
20 ,  0.0016112327575683594 ,  0.0016071796417236328 ,  4.0531158447265625e-06
20 ,  0.0015070438385009766 ,  0.0014958381652832031 ,  1.1205673217773438e-05
20 ,  0.0015540122985839844 ,  0.001544952392578125 ,  9.059906005859375e-06
20 ,  0.0014998912811279297 ,  0.001497030258178711 ,  2.86102294921875e-06
20 ,  0.0016171932220458984 ,  0.0016140937805175781 ,  3.0994415283203125e-06
40 ,  0.016583919525146484 ,  0.01657700538635254 ,  6.9141387939453125e-06
40 ,  0.016027212142944336 ,  0.016024112701416016 ,  3.0994415283203125e-06
40 ,  0.016509294509887695 ,  0.01650524139404297 ,  4.0531158447265625e-06
40 ,  0.01608896255493164 ,  0.016083955764770508 ,  5.0067901611328125e-06
40 ,  0.016119003295898438 ,  0.01611495018005371 ,  4.0531158447265625e-06
40 ,  0.016164064407348633 ,  0.016143083572387695 ,  2.09808349609375e-05
40 ,  0.016269922256469727 ,  0.0162661075592041 ,  3.814697265625e-06
40 ,  0.016453027725219727 ,  0.016448020935058594 ,  5.0067901611328125e-06
40 ,  0.01625680923461914 ,  0.016252994537353516 ,  3.814697265625e-06
40 ,  0.01587200164794922 ,  0.015867948532104492 ,  4.0531158447265625e-06
60 ,  0.06239795684814453 ,  0.062387943267822266 ,  1.0013580322265625e-05
60 ,  0.0601506233215332 ,  0.06014370918273926 ,  6.9141387939453125e-06
60 ,  0.07006692886352539 ,  0.07005500793457031 ,  1.1920928955078125e-05
60 ,  0.058474063873291016 ,  0.05846118927001953 ,  1.2874603271484375e-05
60 ,  0.06447577476501465 ,  0.0644679069519043 ,  7.867813110351562e-06
60 ,  0.06315302848815918 ,  0.06314206123352051 ,  1.0967254638671875e-05
60 ,  0.0635828971862793 ,  0.06357073783874512 ,  1.2159347534179688e-05
60 ,  0.06194615364074707 ,  0.06192207336425781 ,  2.4080276489257812e-05
60 ,  0.06187796592712402 ,  0.06187009811401367 ,  7.867813110351562e-06
60 ,  0.05981111526489258 ,  0.05980515480041504 ,  5.9604644775390625e-06
80 ,  0.15106987953186035 ,  0.15105986595153809 ,  1.0013580322265625e-05
80 ,  0.1563868522644043 ,  0.15637898445129395 ,  7.867813110351562e-06
80 ,  0.15386724472045898 ,  0.15386033058166504 ,  6.9141387939453125e-06
80 ,  0.15688681602478027 ,  0.15687990188598633 ,  6.9141387939453125e-06
80 ,  0.1498270034790039 ,  0.14982008934020996 ,  6.9141387939453125e-06
80 ,  0.1535649299621582 ,  0.15355181694030762 ,  1.3113021850585938e-05
80 ,  0.16788601875305176 ,  0.1678619384765625 ,  2.4080276489257812e-05
80 ,  0.16576504707336426 ,  0.1657569408416748 ,  8.106231689453125e-06
80 ,  0.15560603141784668 ,  0.1555941104888916 ,  1.1920928955078125e-05
80 ,  0.1580500602722168 ,  0.15804171562194824 ,  8.344650268554688e-06
100 ,  0.34239721298217773 ,  0.3423891067504883 ,  8.106231689453125e-06
100 ,  0.33103203773498535 ,  0.331024169921875 ,  7.867813110351562e-06
100 ,  0.3358597755432129 ,  0.3358500003814697 ,  9.775161743164062e-06
100 ,  0.4253711700439453 ,  0.4253549575805664 ,  1.621246337890625e-05
100 ,  0.3049159049987793 ,  0.30490803718566895 ,  7.867813110351562e-06
100 ,  0.3795280456542969 ,  0.3795139789581299 ,  1.4066696166992188e-05
100 ,  0.3439292907714844 ,  0.3439211845397949 ,  8.106231689453125e-06
100 ,  0.3062732219696045 ,  0.3062620162963867 ,  1.1205673217773438e-05
100 ,  0.32552003860473633 ,  0.3255128860473633 ,  7.152557373046875e-06
100 ,  0.3047943115234375 ,  0.30478715896606445 ,  7.152557373046875e-06
120 ,  0.5296928882598877 ,  0.5296850204467773 ,  7.867813110351562e-06
120 ,  0.5317258834838867 ,  0.5317139625549316 ,  1.1920928955078125e-05
120 ,  0.5673091411590576 ,  0.5672881603240967 ,  2.09808349609375e-05
120 ,  0.5334279537200928 ,  0.5334200859069824 ,  7.867813110351562e-06
120 ,  0.5349721908569336 ,  0.5349581241607666 ,  1.4066696166992188e-05
120 ,  0.530552864074707 ,  0.5305459499359131 ,  6.9141387939453125e-06
120 ,  0.5289297103881836 ,  0.5289139747619629 ,  1.5735626220703125e-05
120 ,  0.5188412666320801 ,  0.5188281536102295 ,  1.3113021850585938e-05
120 ,  0.5263960361480713 ,  0.5263671875 ,  2.8848648071289062e-05
120 ,  0.5299520492553711 ,  0.5299451351165771 ,  6.9141387939453125e-06
140 ,  0.8679399490356445 ,  0.8679320812225342 ,  7.867813110351562e-06
140 ,  0.8420379161834717 ,  0.8420300483703613 ,  7.867813110351562e-06
140 ,  0.8593246936798096 ,  0.8593158721923828 ,  8.821487426757812e-06
140 ,  0.9501280784606934 ,  0.9500861167907715 ,  4.1961669921875e-05
140 ,  1.1038837432861328 ,  1.1038768291473389 ,  6.9141387939453125e-06
140 ,  0.8561527729034424 ,  0.856144905090332 ,  7.867813110351562e-06
140 ,  0.9453701972961426 ,  0.9453630447387695 ,  7.152557373046875e-06
140 ,  0.8544750213623047 ,  0.8544681072235107 ,  6.9141387939453125e-06
